00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000222222200000000000000000000000000055555555500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005555555000000000000000000000000000
00000000000000000000000000000000000000000000000000000000000055555555000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005555555000000000
55555550000000000002222200000000000000000000000000000000000000000000000000000000000000000000055555555000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
11111110000000000000000000000000000000000000000000000000000000000000002222222222220000000000000000000000000000000000000005555555000000000000000000000000000555555555000000000000000000000000000000000000
11111110000000000000000005555550000000555550000000000000000000000000000000000000000000000055500000000000055555000000000001111111000000000000000000000000000000000000000000000000000000000000000000000000
11111110000000000000000000000000000000000000000000000000222220000000000000000000000000000000000000000000011111500000005551111111000222222222220000000005550000000000055555500000005555550000005555555555
11111110055555555550000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111155555551111111111000000000000000000000001110000000000011111100000000000000000001111111111
11111110011111111110000000000000000000000000000000000000000000000000000000005500005550005555000055555500011111111111111111111111000000000000000555555501110055555500011111100555000000000000001111111111
11111110011111111110000000000005555555555555500000000000000000555555500000001100000000001111000011111100011111111111111111111111000000000000000000000001110000000000011111100000000000000000001111111111
11111116611111111116666666666666666666666666666666666666666666111111166666661166666666661111666611111166611111111111111111111111666666666666666666666661116666666666611111166666666666666666661111111111
###
2,7640.0,240.0
2,7680.0,240.0
2,7720.0,240.0
2,7600.0,240.0
2,7760.0,240.0
2,7800.0,240.0
3,7840.0,200.0
3,7920.0,200.0
3,7880.0,200.0
1,7560.0,80.0
1,7480.0,80.0
1,7400.0,80.0
1,6920.0,320.0
2,7000.0,320.0
3,7280.0,200.0
3,6840.0,0.0
2,6800.0,40.0
2,6760.0,40.0
2,6720.0,40.0
2,6680.0,40.0
2,6640.0,40.0
1,6680.0,240.0
1,6240.0,320.0
2,6360.0,320.0
2,6440.0,320.0
2,6400.0,160.0
2,6360.0,160.0
2,6280.0,160.0
2,6320.0,160.0
2,5920.0,320.0
2,5840.0,320.0
2,5880.0,320.0
2,5800.0,320.0
2,5760.0,320.0
2,5600.0,320.0
2,5520.0,320.0
2,5440.0,320.0
2,5360.0,320.0
2,5280.0,320.0
2,5000.0,40.0
2,4760.0,240.0
1,4600.0,280.0
3,5040.0,120.0
3,4440.0,240.0
3,3880.0,80.0
3,3760.0,80.0
2,3640.0,320.0
2,3600.0,320.0
2,3560.0,320.0
2,3520.0,320.0
2,3200.0,240.0
2,3120.0,240.0
2,3000.0,240.0
2,3040.0,240.0
2,3080.0,240.0
2,3160.0,240.0
2,2960.0,240.0
2,2920.0,240.0
2,2880.0,240.0
1,3320.0,320.0
3,3040.0,280.0
3,2520.0,40.0
2,2680.0,360.0
2,2600.0,360.0
2,2520.0,360.0
1,2040.0,40.0
1,1920.0,40.0
3,1400.0,320.0
2,1520.0,360.0
2,1560.0,360.0
2,1600.0,360.0
2,1640.0,360.0
2,1680.0,360.0
2,1720.0,360.0
2,1760.0,360.0
2,1160.0,200.0
2,1040.0,200.0
1,1080.0,200.0
2,480.0,120.0
2,520.0,120.0
2,560.0,120.0
2,600.0,120.0
2,680.0,120.0
2,640.0,120.0
2,440.0,120.0
3,200.0,80.0
